report_date,published_at,serie,casa_de_bolsa,remanente_ultimo,remanente_presente,acciones_tesoreria_ultimo,acciones_tesoreria_presente,acciones_circulacion_ultimo,acciones_circulacion_presente,pdf_url,pdf_sha256,fetched_at_utc
2025-12-31,2025-12-31T15:31,B,INBUR,13046071496,12990090502,978500000,981500000,60266500000,60263500000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1519714_1.pdf,c4bb4ebf5c913cf4e339098c093cc6cfaa6408b84395e65d4e359258031702d3,
2026-01-02,2026-01-02T17:31,B,INBUR,12990090502,12988234452,981500000,981600000,60263500000,60263400000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1520503_1.pdf,ca0d68684e9371affa2588e9692cc89d7cd0b1b8c9d8c49bf9d007fa89c0a2c8,
2026-01-09,2026-01-09T17:53,B,INBUR,12794082007,12762080999,992250000,994000000,60252750000,60251000000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1522409_1.pdf,72254a65064a2b3ba2be3920bdba1a97271aa4d08e8236e2b57b89f5bf9f6faf,
2026-01-16,2026-01-16T16:56,B,INBUR,12608373907,12599423010,1002500000,1003000000,60242500000,60242000000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1524598_1.pdf,b448d2275b3049026025114f32ce0ad16e488536c56390569888293b0d92617d,
2026-01-23,2026-01-23T17:06,B,INBUR,12581358105,12576838541,1004000000,1004250000,60241000000,60240750000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1526700_1.pdf,c7eed80979bc36629d2bdc7d3db98c76ceb6444e630d85cf16ab83e175e7c75b,
2026-01-30,2026-01-30T17:59,B,INBUR,12561463301,12543444084,1005100000,1006100000,60239900000,60238900000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1528791_1.pdf,d0d4ff1a4de928746c06734a0f05e8e61b12e72e49407606f8dedea26459780c,
2026-02-06,2026-02-06T17:13,B,INBUR,12537865722,12535926892,1006400000,1006505000,60238600000,60238495000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1531191_1.pdf,466bf8a16778a1cd0d9cc857e4b590debaca75d668948c402eec51930764ca0d,
2026-02-13,2026-02-13T17:42,B,INBUR,12490597598,12444819767,1008750000,1011000000,60236250000,60234000000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1533517_1.pdf,2e07b0c075350f5d8283d05a0d6d98b4383bb380df3daab80cb8f5d8d551ed81,
2026-02-20,2026-02-20T16:41,B,INBUR,12372423513,12351926438,1014500000,1015500000,60230500000,60229500000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1535591_1.pdf,a8aa0c231f9858deea9442253d920d126a4320e5fee7912e71088cfacc80085b,
2026-02-27,2026-02-27T17:02,B,INBUR,12266158605,12260440289,1019500000,1019760000,60225500000,60225240000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1537781_1.pdf,022872e731ff9e130e331fc1648ffd0c1991aa7bcea73775c68c1680d0caa655,
2026-03-06,2026-03-06T17:26,B,INBUR,12145694411,12103044748,1025000000,1027000000,60220000000,60218000000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1539863_1.pdf,8f4aa1152b4b104e8c5ba32b595ed125f25011d796a87cce2e161bca3bf39f95,
2026-03-13,2026-03-13T18:07,B,INBUR,11977369646,11956750640,1033000000,1033000000,60212000000,60212000000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1541521_1.pdf,766d30d06c1d219378914e7326c58ddd51feb0e5aa1d46b70d8006fa6ccd1bd8,
2026-03-20,2026-03-20T16:35,B,INBUR,11901674530,11809825426,1036610000,1041000000,60208390000,60204000000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1542747_1.pdf,232c13394e756d3452b3f30ab61c7d8f1462614c81f25c2a7f3823b94b7ec31a,
2026-03-27,2026-03-27T16:54,B,INBUR,11712151179,11661422901,1045500000,1047750000,60199500000,60197250000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1544887_1.pdf,a2a5be75ea8e879fcf1b85fe4f1fca8dfe1f4733574f0503b0a9551491ff9ee3,
2026-03-31,2026-03-31T17:58,B,INBUR,11639036955,11610612670,1048750000,1050000000,60196250000,60195000000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1545704_1.pdf,5c2325dc765d2d3068f109c2efcd95b15ce62f6c94a63df0374ce924c2e00a7f,
2026-04-01,2026-04-01T17:42,B,INBUR,11610612670,11587870992,1050000000,1051000000,60195000000,60194000000,https://www.bmv.com.mx/docs-pub/recompra/recompra_1546112_1.pdf,c36b2337d5065cd7b29e8b6c26a8c89ce08aababa805e72f1b4fc0cd9493da7e,
